[2014-07-03 01:04:13] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 01:04:16] EDIT RegressionReport/controllers/default.py: 0
[2014-07-03 01:04:20] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-03 11:57:31] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 12:21:31] EDIT RegressionReport/views/default/index.html: 10
[2014-07-03 13:21:44] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 13:22:06] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 13:23:38] EDIT RegressionReport/views/default/index.html: 3
[2014-07-03 13:25:11] EDIT RegressionReport/views/default/index.html: 1
[2014-07-03 13:28:18] EDIT RegressionReport/views/default/index.html: 4
[2014-07-03 13:28:28] EDIT RegressionReport/views/default/index.html: 1
[2014-07-03 13:28:47] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 13:31:49] EDIT RegressionReport/views/default/index.html: 7
[2014-07-03 13:32:57] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 13:33:34] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 13:35:57] EDIT RegressionReport/static/css/web2py.css: 0
[2014-07-03 13:36:12] EDIT RegressionReport/static/css/web2py.css: 0
[2014-07-03 13:36:22] EDIT RegressionReport/static/css/web2py.css: 0
[2014-07-03 13:36:41] EDIT RegressionReport/static/css/web2py.css: 0
[2014-07-03 13:37:07] EDIT RegressionReport/static/css/web2py.css: 0
[2014-07-03 13:38:34] EDIT RegressionReport/static/css/web2py.css: 0
[2014-07-03 13:38:36] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-03 13:38:38] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 13:38:40] EDIT RegressionReport/controllers/default.py: 0
[2014-07-03 13:38:42] EDIT RegressionReport/models/db.py: 0
[2014-07-03 14:06:18] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 14:07:42] EDIT RegressionReport/static/css/web2py.css: 1
[2014-07-03 14:08:01] EDIT RegressionReport/static/css/web2py.css: -1
[2014-07-03 14:08:32] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 14:11:51] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 14:12:06] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 14:12:21] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 14:12:59] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 14:13:13] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 16:15:29] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 16:17:25] EDIT RegressionReport/views/default/index.html: 2
[2014-07-03 16:19:24] EDIT RegressionReport/controllers/default.py: 1
[2014-07-03 16:27:07] EDIT RegressionReport/controllers/default.py: 0
[2014-07-03 16:27:09] EDIT RegressionReport/models/db.py: 0
[2014-07-03 16:27:11] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 16:27:11] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-03 16:27:13] EDIT RegressionReport/static/css/web2py.css: 0
[2014-07-03 21:01:37] EDIT RegressionReport/modules/loadxls/load.py: 2
